market_id,signal_type,total_bet_usd,net_pnl_usd,vwap_entry_price,avg_P_model,avg_live_edge,avg_TTR_minutes,distance_to_strike_bps,is_coinflip,target_win
0x8db0d7477d92fbfa14c815baf795ea46edc2b5e21f22b51d970f108946c82937,BUY_NO,1.0,-1.0003,0.14,0.7123708593571728,0.1219212264485414,3.87663285,6.853627426091848,False,0
0x900b3b4ce64104385fedbe3347bf9f9bf5d85cb606e3ff2dd5264c667f82661b,BUY_NO,1.0,-1.0003,0.53,0.362527240011054,0.0801297558680571,2.224218983333333,-3.2780013172416065,False,0
0x917dc4bfa82da0c2cab82247887667af5c59588066e1d3756d052597709fdf25,BUY_NO,2.32,2.511718613333333,0.48,0.3784098380889636,0.1124106101967505,3.9360496166666663,-2.482962607121849,False,1
0x92b56d105e0057156fc188f0b9b88577461b77980f548237b4535141e07f6939,BUY_NO,7.24,7.827608053333334,0.48,0.3140589428334732,0.1826103147360506,3.9641760666666666,-3.377022725928556,False,1
0x956ffb5750aaec9a4f8eab078c67b59d87f3332eeb22346515d25a44336443fd,BUY_NO,143.5,-149.677675,0.61,0.2024137682331058,0.1642511783649893,3.9548074,-5.182416674654211,False,0
0x97105f627dfcc947da128d32ca8790c06f27143451ae729649f17da8f9e7f8c6,BUY_NO,148.81,-155.45332483,0.3,0.4182260133340695,0.2582320043878353,3.502137466666667,-1.216530476271479,True,0
0x9848f61f0ec796be07a211f50f6572e0e123d69df27020e2cb7538dc58297de5,BUY_NO,1.77,1.5068379077777776,0.54,0.2827053841697146,0.1539214479902854,3.871429233333333,-5.1178772900581135,False,1
0x99853a897403c09416a9498196612257871d21ef858707e38fab53c2cd319490,BUY_NO,1.38,-1.3805713199999998,0.63,0.2626843782740475,0.0839263404992857,3.836217066666667,-6.641010661883676,False,0
0x99b7e23bf82d9ef5949db3de93474141ba2221e40fa945b606b4e7ec45e794fd,BUY_NO,13.33,-13.38330667,0.42000000000000004,0.3400114705906879,0.2136831571407406,3.850917766666667,-2.5870345740251874,False,0
0x9b6585fef1165a1e7fe859e1c99b65b7435ba226dc364d9ebcb3e6b3727276da,BUY_NO,102.94,-106.11899308,0.34,0.5706443249913522,0.0659982339419811,3.9057979,1.0468959261174926,True,0
0x9bb9c4c38f315b57cd0bc5c762a5809c677826a3e870afc6e0129936b09bf585,BUY_NO,55.13,-56.04179507,0.29,0.4265814747764926,0.2600527778025549,3.88764765,-1.1439004870016527,True,0
0x9cf46d7f7a453140fc074f77d5ede55ce6ac9d8fe4bf59b735fd2fe973d54890,BUY_NO,14.68,26.03312705777778,0.36,0.3133726877115951,0.3062205882217381,3.98339635,-3.528493487684944,False,1
0x9e5b1912e60aa00220352e6f123aa29ca3637d4cfc423f7e1945361e15306088,BUY_NO,38.14,-38.57639788,0.35,0.1286770947974646,0.4979375797853925,3.8448051666666663,-6.620484274901315,False,0
0x9e77a2a706f8d1aa841a06b201e377f36e8a31d55d6558f1b64b7a157a0baeeb,BUY_NO,1.01,-1.01030603,0.38,0.5003081897934234,0.0963018380084813,3.8346387333333336,0.013870077593431795,True,0
0x9e8d3537464c5db5836184adc8b4ed00911c9abedea37098b9c512fa4dd32533,BUY_NO,1.0,-1.0003,0.58,0.35369708553034,0.0429767320468028,3.9742472,-4.043199532779789,False,0
0x9f5242ceb7d2baa123be324273be66a72bb88aca44e7bba180fd3214c1aac17d,BUY_NO,1.0,-1.0003,0.72,0.216189495475143,0.0359476040265712,3.493119183333333,-9.332663016634525,False,0
